"keywordType-place.langfre",createDate,location
"-","Jul 18, 2023 @ 17:23:43.000","{
  ""coordinates"": [
    13.988510999999999,
    9.1385615
  ],
  ""type"": ""Point""
}"
"-","Jul 18, 2023 @ 17:23:38.000","-"
"-","Jul 18, 2023 @ 17:23:32.000","{
  ""coordinates"": [
    3.4968079999999997,
    46.2292635
  ],
  ""type"": ""Point""
}"
"-","Jul 18, 2023 @ 17:23:20.000","{
  ""coordinates"": [
    9.09835,
    45.75
  ],
  ""type"": ""Point""
}"
"-","Jul 18, 2023 @ 17:23:13.000","-"
"-","Jul 18, 2023 @ 17:23:05.000","{
  ""coordinates"": [
    40.232419500000006,
    10.495999999999999
  ],
  ""type"": ""Point""
}"
"-","Jul 18, 2023 @ 17:22:58.000","-"
"-","Jul 18, 2023 @ 17:22:53.000","-"
"-","Jul 18, 2023 @ 17:22:48.000","{
  ""coordinates"": [
    3.873167,
    43.500220999999996
  ],
  ""type"": ""Point""
}"
"-","Jul 18, 2023 @ 17:22:42.000","{
  ""coordinates"": [
    3.992721,
    44.085586
  ],
  ""type"": ""Point""
}"
"-","Jul 18, 2023 @ 17:22:36.000","{
  ""coordinates"": [
    3.8843640000000006,
    43.5395325
  ],
  ""type"": ""Point""
}"
"-","Jul 18, 2023 @ 17:22:32.000","-"
"-","Jul 18, 2023 @ 17:22:27.000","{
  ""coordinates"": [
    3.8588705,
    43.633757
  ],
  ""type"": ""Point""
}"
"-","Jul 18, 2023 @ 17:22:17.000","{
  ""coordinates"": [
    4.354245000000001,
    43.9387375
  ],
  ""type"": ""Point""
}"
"-","Jul 18, 2023 @ 17:22:11.000","-"
"-","Jul 18, 2023 @ 17:19:33.000","{
  ""coordinates"": [
    31.1565,
    70.3868
  ],
  ""type"": ""Point""
}"
"-","Jul 18, 2023 @ 17:19:24.000","-"
"-","Jul 18, 2023 @ 17:19:19.000","{
  ""coordinates"": [
    4.596035,
    43.655015
  ],
  ""type"": ""Point""
}"
"-","Jul 18, 2023 @ 17:19:13.000","{
  ""coordinates"": [
    5.6996095,
    43.168942
  ],
  ""type"": ""Point""
}"
"-","Jul 18, 2023 @ 17:19:04.000","{
  ""coordinates"": [
    -20.213210999999994,
    11.335737499999999
  ],
  ""type"": ""Point""
}"
"-","Jul 18, 2023 @ 17:18:57.000","{
  ""coordinates"": [
    3.030541,
    42.490166
  ],
  ""type"": ""Point""
}"
"-","Jul 18, 2023 @ 17:18:49.000","{
  ""coordinates"": [
    3.5958,
    43.7414
  ],
  ""type"": ""Point""
}"
"-","Jul 18, 2023 @ 17:18:42.000","{
  ""coordinates"": [
    3.7212804999999998,
    43.430684
  ],
  ""type"": ""Point""
}"
"-","Jul 18, 2023 @ 17:18:37.000","{
  ""coordinates"": [
    -1.8659154999999998,
    11.914250500000001
  ],
  ""type"": ""Point""
}"
"-","Jul 18, 2023 @ 17:18:30.000","{
  ""coordinates"": [
    3.8741695,
    43.6100165
  ],
  ""type"": ""Point""
}"
"-","Jul 18, 2023 @ 17:18:24.000","{
  ""coordinates"": [
    8.0518,
    40.199
  ],
  ""type"": ""Point""
}"
"-","Jul 18, 2023 @ 17:18:18.000","{
  ""coordinates"": [
    5.000662,
    43.421434
  ],
  ""type"": ""Point""
}"
"-","Jul 18, 2023 @ 17:18:11.000","{
  ""coordinates"": [
    3.6649849999999997,
    43.92975
  ],
  ""type"": ""Point""
}"
"-","Jul 18, 2023 @ 17:18:06.000","{
  ""coordinates"": [
    3.7997505,
    43.780658
  ],
  ""type"": ""Point""
}"
"-","Jul 18, 2023 @ 17:18:00.000","-"
"-","Jul 18, 2023 @ 17:17:55.000","{
  ""coordinates"": [
    3.374517,
    43.426795
  ],
  ""type"": ""Point""
}"
"-","Jul 18, 2023 @ 17:17:49.000","{
  ""coordinates"": [
    6.3043830000000005,
    42.536533500000004
  ],
  ""type"": ""Point""
}"
"-","Jul 18, 2023 @ 17:17:42.000","{
  ""coordinates"": [
    26.159005999999998,
    -30.468110000000003
  ],
  ""type"": ""Point""
}"
"-","Jul 18, 2023 @ 17:17:35.000","{
  ""coordinates"": [
    6.320259,
    43.2754535
  ],
  ""type"": ""Point""
}"
"-","Jul 18, 2023 @ 17:17:28.000","-"
