,uuid,nb_champs_renseignés
172,oai:search-data.ubfc.fr:FR-18008901306731-2017-01-19-04,17.0
173,oai:search-data.ubfc.fr:FR-18008901306731-2017-02-16-02,16.0
174,oai:search-data.ubfc.fr:FR-13002091000019-2023-03-07,17.0
175,oai:search-data.ubfc.fr:FR-18008901306731-2017-01-19-02,17.0
176,oai:search-data.ubfc.fr:FR-13002091000019-2023-04-13-02,17.0
177,oai:search-data.ubfc.fr:FR-18008901306731-2016-09-12,17.0
178,oai:search-data.ubfc.fr:FR-18008901306731-2017-01-25-06,17.0
179,oai:search-data.ubfc.fr:FR-18008901306731-2017-01-19-05,17.0
180,oai:search-data.ubfc.fr:FR-18008901306731-2017-01-25-04,17.0
181,oai:search-data.ubfc.fr:FR-18008901306731-2017-01-25-05,17.0
182,oai:search-data.ubfc.fr:FR-18008901306731-2016-12-29-05,16.0
183,oai:search-data.ubfc.fr:FR-18008901306731-2017-01-25-02,17.0
184,oai:search-data.ubfc.fr:FR-18008901306731-2017-01-25-03,16.0
185,oai:search-data.ubfc.fr:FR-18008901306731-2016-12-29-02,17.0
186,oai:search-data.ubfc.fr:FR-18008901306731-2017-02-27-04,16.0
187,oai:search-data.ubfc.fr:FR-13002091000019-2022-11-21,17.0
188,oai:search-data.ubfc.fr:FR-18008901306731-2015-07-06,16.0
189,oai:search-data.ubfc.fr:FR-18008901306731-2017-02-07-10,17.0
190,oai:search-data.ubfc.fr:FR-18008901306731-2017-02-27-08,17.0
191,oai:search-data.ubfc.fr:FR-18008901306731-2017-02-27-07,16.0
192,oai:search-data.ubfc.fr:FR-18008901306731-2022-03-24,17.0
193,oai:search-data.ubfc.fr:FR-18008901306731-2017-01-26-05,17.0
194,oai:search-data.ubfc.fr:FR-18008901306731-2017-01-26-06,17.0
195,oai:search-data.ubfc.fr:FR-18008901306731-2017-03-10-03,17.0
196,oai:search-data.ubfc.fr:FR-18008901306731-2021-03-01,17.0
197,oai:search-data.ubfc.fr:FR-18008901306731-2017-01-26-03,17.0
